id,name,text
0733198fd8d71099785dc62a,Petro,Me reúno con el empresariado de Nariño para hablar de la economía productiva que proponemos. https://t.co/bI2HepBWJx
07bb616ad3f9a56668009f3d,Petro,"Es aquí con la belleza que comienza el torrente de la historia y la cultura.

Gracias pueblo Mizak

Sebastian de Guambia, Silvia, Cauca. https://t.co/r3GFbQjpdj"
ee8eab5c534231af23065cae,Petro,"Enorme. El pacto histórico es el pacto de convivencia que permita que todas y todos los caucanos puedan convivir en paz.
Popayán. https://t.co/Z4sZWsiRnZ"
99443d1127f1c45d033f1046,Petro,"Popayán, Cauca. Ahora mismo. El cambio de la historia de Colombia https://t.co/xuUdbyuzZJ"
9c13d8bf9a5bf2ac1c05242d,Petro,"Plazoleta San Francisco, Popayán con el Pacto Histórico. https://t.co/nq6Cov1C4y"
537fc38002b80423a1d3b047,Petro,Preparando el encuentro del Pacto en Popayán. https://t.co/hPxahugzhf
c0430627c9af173277533c8b,Petro,A las cinco estaré hoy con la ciudadanía payanesa. https://t.co/ZFJ3AgkQ5C
91d5af8a70f66538135d4b94,Petro,"Este es uno de los mayores errores en obras públicas de Bogotá. Se debe a la orden de un magistrado oscuro.

No se necesita elevar con muchísimo costo energético 9 m3 de aguas servidas de Bogotá que podían seguir por gravedad más abajo.

Es un simple negociado. https://t.co/Nn2Hd6GCrr"
bcbe56aa19f86b3076d56570,Petro,"En Santiago de Guambía, Cauca. Reunido con la comunidad Misak. Tierra, autonomía y cultura.

Estas son parte de nuestras raíces Colombia. https://t.co/ZzxTC0WW5p"
568f044cd59c8d977ea089c7,Petro,"Poder Ciudadano de Piedad Córdoba y el liberalismo social se articulan al Pacto Histórico.

Bogotá, salón rojo del Tequendama.

Bienvenidos https://t.co/gRfZsL3NFt"
76b805e11cc8973966f812aa,Petro,"En el capitalismo es ley que el incremento de productividad trae el incremento del bienestar social y el salario real del trabajo

Propongo un pacto entre trabajadores y empresarios para lograr este principio en Colombia."
02df93fe732091ed00a0d13a,Petro,"Para quienes desde la prensa o desde la academia ahora llaman comunista o expropiadora mi propuesta de ligar el crecimento del salario real a la productividad y hacer que el estado ayude a mejorarla, dejo este estudio económico de EEUU

https://t.co/fu8WkFNzJi"
6cfc7183f6d86cf005299773,Petro,"El candidato @petrogustavo le pidió esta noche al liberalismo abandonar el neo-liberalismo el cual, dijo, solo le ha traído décadas de pobreza y atraso a los colombianos.   @piedadcordoba"
5281e64567cbcdeffa44f348,Petro,"Sergio, decir que la libertad de comercio internacional genera mejores condiciones laborales para los trabajadores es uno de los mayores contrasentidos con la realidad que he escuchado. ¿Dónde ha pasado eso? ¿En Bangladesh? ¿en el nuevo trabajo infantil? https://t.co/ejwMPx71mn"
74df5da308b46f84ff7b8963,Petro,"Es increíble que critiquen a @petrogustavo por hablar de proteccionismo cuando todos los países desarrollados lo hacen. 

No se trata de cerrar aduanas. Se trata de abrirlas a los productos que no se hacen aquí y de gravar aquellos que sí producimos. 

No es difícil de entender."
e77bb95efed8e877946cd2e3,Petro,"Acabar la exploración de petroleo es lo que permite transitar a energías limpias en 12 años. Si no,nunca lo harás.

Imprimir dinero lo hace Colombia todos los años,lo hizo tu asesor Jose Antonio Ocampo

La productividad es una función del conocimiento. https://t.co/egruGvKhuR"
2d5deb27b0c10fdb34da92de,Petro,Espectacular esta noticia: https://t.co/nXNYF4Cgcl
eef09f29b29e12a7c601321e,Petro,"Lo que ha hecho EEUU durante un siglo, que el alza en.productividad provoque el alza de los salarios reales es irresponsabilidad para Sergio.

Este mismo diario, un dia tituló que el salario real creciera con la productividad, el autor de la.propuesta: Alfonso López Michelsen https://t.co/XnEdvuljUq"
18a5d1b3a3f7c205689348ac,Petro,"La Unión de trabajadores penitenciarios anuncia su adhesión al #PactoHistorico, apoyamos la candidatura al senado de @PalmaEdwin y la candidatura a la presidencia de @petrogustavo

P, de Penitenciarios, P, de Palma, P, de Pacto Histórico y P, de Petro. https://t.co/9aPFERsXXz"
18a3b9e97f65c6aae0cc7c6f,Petro,"Seguimos trabajando en el #PactoHistórico por una agenda laboral, progresista, cultural, fraterna
@petrogustavo @ClaraLopezObre @PalmaEdwin https://t.co/JvcmmIJZy6"
b02eeea4fa65d023bc0595da,Petro,"Los proyectos solo se materializan, si trabajas por ellos. Vamos por ese #PactoHistorico #Barrancabermeja 
#PetroPresidente2022 #palmasenador2022 https://t.co/qaqOgQxzkg"
4dbafff96c16f51fe1344e60,Petro,"Hoy hice pública mi aspiración al Senado de la República por el #PactoHistórico junto al líder progresista @petrogustavo. Lucharemos por la Paz, por la justicia social, por el medioambiente, por las y los trabajadores que son el motor del país. ¡Estoy comprometido con el cambio! https://t.co/QulkbM2RbS"
e0d30d02505f4ff19210ece5,Petro,"“Yo estoy aquí por ⁦@petrogustavo⁩ y vuelvo a la política por él” ⁦⁦@piedadcordoba⁩ 
Bienvenida al Pacto Histórico! https://t.co/fm8xGRlkrA"
dc8db331f51d391d1ba172c0,Petro,"La baja productivIdad de la economía colombiana se debe a la atrofia de sus sistema de educación, al uso improductivo e irracional de la tierra concentrada en manos improductivas y a la falta de apoyo estatal a la economía popular."
8a89dce0ea642d429e1f403c,Petro,"Has mostrado aquí tu vertiente neoliberal que te solicito superar, Sergio. Lo que hace crecer los salarios reales es el incremento de la productividad y ésta es función del crecimiento del conocimiento.

Colombia no incrementa su productividad desde hace décadas. https://t.co/ejwMPx71mn"
6ed3b1163f7530f107833786,Petro,"Se trata de un pacto entre empresarios y trabajadores, en donde la actividad del estado.que genere ganancias por incremento de la productividad se distribuya entre empresarios y trabajadores. https://t.co/cG884K5X9c"
abb5fdc9849fa8d334bfa3bf,Petro,"Proteger de importaciones no reduce costos pero amplia mercados:  genera economías de escala que si reduce costos.

El proceso no es automático ni general, implica una planificación de la estructura de importaciones que necesitamos o que son sustituidas por producción nacional. https://t.co/J5VVkpW9Mc"
a6195ede3883cd3c854a38f8,Petro,"La protección de importaciones y sus sustitución no es un principio socialista, lo usan los países que quieren desarrollar su propio capitalismo nacional.

En latinoamerica la estimulo la escuela de la Cepal de Raul Prebisch, que no era socialista. https://t.co/GSWe9UZTh2"
91ecfe9465972e6ce7cbbe82,Petro,"Hernando, si las ganancias de productividad se distribuyen entre el salario real de los trabajadores y las utilidades de los empresarios, las empresas no se acaban, sino que crecen, porque crece la demanda de los trabajadores por mercancías de esas empresas. https://t.co/1gyRXeNp3x"
